Date,Tweet_id,Username,Tweet,no_of_replies,no_of_retweets,no_oflikes
2021-12-31 18:00:01+00:00,1.47698E+18,sportstriviabot,"Which country is hosting the 2022 FIFA World Cup?

A: Qatar
B: Bolivia
C: Uganda
D: Vietnam",0,0,0
2021-12-31 17:56:06+00:00,1.47698E+18,AvgeekMel,Nice visitor to @manairport on #NYE2021 to end the year @qatarairways @BoeingUK B777-3DZ(ER) A7-BEC in FIFA World Cup Qatar 2022 livery #avgeek #aviation #B777 #Manchesterairport #theworldwillflyagain #NYE https://t.co/6D1b4SrMOY,2,16,223
2021-12-31 17:53:00+00:00,1.47697E+18,tiagopecanha,"I don’t want too much for 2022.

Only:
- Health, happiness and new adventures
- Bolsonaro out
- Brazil FIFA World Cup champions 

… oh yes, and that Corona is just a beer again. 

Here’s to a good new year 🍻🎊❤️",1,1,41
2021-12-31 17:44:00+00:00,1.47697E+18,PremierKickk,12. Who wins the 2022 FIFA World Cup?,1,0,0
2021-12-31 17:27:49+00:00,1.47697E+18,abidalibukhari,"A bright day in Sialkot. Visited Forward Group, a company famous for its football. Volume of employees in this company is more than eight thousand (8,000). Group produced  football for many world competitions, including the FIFA World Cup. Bright face of Pakistan. https://t.co/62YmPkZcyo",0,0,3
2021-12-31 17:25:00+00:00,1.47697E+18,ChunchoTapia1,@olliewalkerpeel Is coming my Friend🔥🔥. Rovers to the EPL and chile to the Fifa World Cup 2022🔥🔥 https://t.co/UT3IItpzVE,0,0,0
2021-12-31 17:10:55+00:00,1.47696E+18,LevAkabas,"The FIFA World Cup is a profit-generating machine, mainly thanks to TV broadcasting rights https://t.co/jnVELxfmrf",1,2,5
2021-12-31 17:08:17+00:00,1.47696E+18,inilouisbukan,"2022.

Asian Games.
FIFA World Cup.
AFF Suzuki Cup.

Bring. It. On.",2,0,0
2021-12-31 17:04:27+00:00,1.47696E+18,ewandowski9,Can't wait. Fifa World Cup 2022,0,0,0
2021-12-31 16:24:02+00:00,1.47695E+18,AmirilFaiq,"Biggest Sports Event in 2022
Commonwealth Games 2022 Birmingham 🇬🇧
Asian Games 2022 Hangzhou 🇨🇳
FIFA World Cup 2022 Qatar 🇶🇦
Only in Astro SuperSport and BeIn Sports #MalaysiaBoleh 🇲🇾",0,1,0
2021-12-31 16:21:19+00:00,1.47695E+18,AndrewRai17,"The only reason why I’m eagerly waiting to enter 2022: 
FIFA WORLD CUP🏆 ⚽️🇧🇷",0,0,0
2021-12-31 16:07:35+00:00,1.47695E+18,taskindarknight,"🇲🇫France Becomes first team to Wins FIFA World Cup, UEFA EUROs, FIFA Confedarations Cup, Olympic Gold in 1984 &amp; Nations League 🔥🏆🥇

#lesblue
#FIFA #UEFA #Olympics https://t.co/r8ujnMuSMJ",0,0,1
2021-12-31 16:01:24+00:00,1.47695E+18,mrlurvy,Qatar 2022 FIFA World Cup,0,1,1
2021-12-31 15:40:57+00:00,1.47694E+18,Sanset2911,"@VintageNiftys @metagascarNFT 1966 FIFA World Cup at Wembley stadium.
England defeated West Geramany 4-2",1,0,1
2021-12-31 15:38:17+00:00,1.47694E+18,BashorunGa_,"I won't mind Hajj 2022 and Qatar 2022 FIFA World Cup.
I know my God can do this.",5,8,38
2021-12-31 15:20:30+00:00,1.47694E+18,Lanre_red,2021 been BUSSIN. Can't wait for the 2022 fifa world cup... https://t.co/y1wMXhHlPy,0,0,0
2021-12-31 15:18:04+00:00,1.47694E+18,playzradio,Waka Waka (This Time For Africa) (The Official 2010 FIFA World Cup (TM) Song) Freshlyground - Shakira Freshlyground - Shakira - Waka Waka (This Time For Africa) (The Official 2010 FIFA World Cup (TM) Song) # LATINO / ELECTRO https://t.co/rRMOjfKY2q,0,0,0
2021-12-31 15:16:36+00:00,1.47694E+18,AltOutcome,Germany   loses their bid for a FIFA World Cup in 2040,0,0,0
2021-12-31 15:12:32+00:00,1.47693E+18,ematr_86,"#FIFA2030 Fifa World Cup 2030 will be in Israel, will be in Holy Land",0,0,0
2021-12-31 14:48:29+00:00,1.47693E+18,continuation005,"@DanSenSei_ The Olympics/The Paralympics
FIFA World Cup
Mother's Day
Father's Day",1,0,1
2021-12-31 14:44:30+00:00,1.47693E+18,RonBlagdon,"@SkySportsPL Disagree with Ian Wright 
Football is tribal and here the Afcon means as little as the Copa America, OFC Nations Cup, CONCACAF Gold Cup and AFC Asian Cup.
Club first Country second 
Uefa and Fifa World Cup next
There is no disrespect - there just isn't the same interest as others",0,0,0
2021-12-31 14:33:19+00:00,1.47692E+18,tweetvishaln,Bench Lukaku till next  fifa world cup. https://t.co/sLv9Q6hkdU,0,0,0
2021-12-31 14:15:09+00:00,1.47692E+18,PiazzaPaisley,"Happy New Year! 
Let's ring in 2022 with a bang! 

Things to look forward to: 
2022 Fifa World Cup 
Lewis Capaldi is on tour 
Glastonbury Festival is back with Diana Ross https://t.co/0r0MIjhLTF",0,0,0
2021-12-31 14:14:46+00:00,1.47692E+18,RahulNi80948204,FIFA World Cup every 2 years? Here’s what UEFA president Aleksander Ceferin has to say | Football News https://t.co/mOimQUj35Y,0,0,0
2021-12-31 14:13:07+00:00,1.47692E+18,rebeccaclark,FIFA WORLD CUP IS NEXT YEAR,0,0,0
2021-12-31 14:06:28+00:00,1.47692E+18,Soccer_Stats,"@Philatelovely Qatar stamp issue featuring the 8 Stadiums for the 2022 FIFA World Cup 

#FIFAWorldCup #Qatar2022 
https://t.co/YYneCLx6DW https://t.co/sJmtNvSIyr",0,4,14
2021-12-31 14:06:05+00:00,1.47692E+18,techoloinfo,Which teams will qualify for 2022 World Cup? FIFA World Cup https://t.co/Mdd3MxVH1v,0,0,0
2021-12-31 13:57:14+00:00,1.47692E+18,XqatarQa,"As we enter the most awaited year of the FIFA World Cup in Qatar, we wish everyone a blessed, exciting and healthy new year! Wishing you a very happy &amp; prosperous 2022!
#happynewyear #2022 #digitalmarketing #qatar https://t.co/wdqEL50q6w",0,0,0
